-179.036,2.19425,6.20493e-06,1.87834e-08,0.000136093,0.000112543,4.26673e-05,3.72959e-05,5.51723e-06,0.010845,1.012e-07,0.00808729,0.00713486,0.00524137,1.04796,0.0163131,
-178.999,2.26177,3.16273,0.0236844,0.124046,2.50465,0.633205,0.388729,0.0120093,0.207793,0.247519,0.0175104,0.00317695,5.64527e-05,8.33011,0.0050016,
-179.059,2.21881,0.232707,0.00104791,0.177386,0.000379465,0.49664,0.00265831,0.0638547,0.00442414,0.000268859,3.30163e-06,0.012241,0.0035249,2.06852,0.0733797,
-179.045,2.2867,1.63369,0.0718005,0.162005,0.0914628,0.000670078,0.0282631,0.00413795,0.348869,0.24877,1.44299e-05,0.30413,0.115717,4.01449,0.00495468,
-179.032,2.22162,0.083826,0.0163023,0.0358012,0.033488,0.0039316,0.553669,0.00239824,4.0774e-05,0.00589367,0.102684,0.018085,0.006234,2.05253,0.190176,
-179.022,2.22648,0.132633,0.11765,0.00654807,0.218649,0.977878,0.040654,0.271517,0.00156843,0.047571,0.00122856,0.135244,0.000304718,2.98883,0.0373863,
-179.027,2.2264,0.238807,0.0560601,0.0689284,0.228405,8.20031e-05,0.0218158,0.527224,0.00664402,0.195005,0.0371751,0.0296835,0.00247545,2.44371,0.0314026,
-179.044,2.25746,0.244294,1.51072,0.000949116,0.129052,0.0145782,0.0027727,0.712449,0.00358654,0.000498554,0.00815181,0.0407307,0.0122189,3.71825,0.0382485,
-179.049,2.24802,1.52317,3.49465,0.0361433,0.0012245,0.163663,0.0628023,0.0159578,0.039926,0.0058448,0.0062187,0.0572699,6.8059e-05,6.46091,0.0539722,
-179.036,2.21491,0.00190065,0.0029532,0.453071,0.00928181,0.422458,0.435325,0.00215685,0.024144,0.0299429,0.000265363,0.000435142,0.000331557,2.45862,0.0763548,
-179.012,2.27982,0.00444133,0.566971,0.22846,0.220884,0.244999,0.0302374,0.271957,0.418674,0.0095478,0.0127629,0.023954,0.118507,3.22944,0.0780406,
-179.035,2.25661,0.116807,0.050528,0.0040201,0.0240105,1.18793,0.00328938,0.0440583,0.000976126,0.125742,0.0123821,0.0034793,0.0360687,2.61169,0.00239896,
-179.027,2.23237,0.0348857,0.008852,9.84257e-05,0.0044216,2.7584,0.188006,0.00018401,4.45558e-05,0.169997,0.105301,0.00205793,0.010914,4.34286,0.0597063,
-179.022,2.27528,1.44297,0.205247,0.0320806,0.612045,0.952049,0.798466,0.0303548,0.0697049,0.824787,1.78351e-08,0.139502,0.0519832,6.39177,0.232581,
-179.025,2.2555,0.573435,1.18384,0.229985,0.168203,0.470334,0.101648,0.0142176,0.479126,0.0498662,0.138526,0.00389167,0.00311978,4.49066,0.0744674,
-179.038,2.25791,0.0488769,0.015363,0.131303,0.0770064,1.65619,0.0182851,0.0392363,0.000231816,0.371485,0.0155919,0.4668,0.0379059,4.12253,0.244253,
-179.021,2.23967,1.01256,0.613218,2.43309,0.986838,0.610364,0.102872,0.633265,0.0012274,0.391051,0.00340344,0.00574794,0.0543454,7.87501,0.0270296,
-179.029,2.27103,0.214965,1.43918,3.60195,0.238765,0.97837,1.00302,0.00318409,0.566499,0.301521,0.047592,0.241636,0.0111604,9.69202,0.0441777,
-179.028,2.26306,0.562606,0.458472,0.0756423,0.542794,1.09385,0.337148,0.578502,0.551557,0.00507759,0.00626945,0.0136543,0.00423706,5.36816,0.138349,
-179.028,2.20887,0.50567,0.157755,0.0465405,0.000273793,8.16704e-06,0.0117982,0.000459018,0.798206,0.255537,0.00700416,0.106773,1.90059e-05,3.08259,0.19255,
-179.022,2.27876,0.457321,0.277307,0.826665,0.000657383,0.00123725,0.110676,0.151618,0.0130085,0.00130779,0.0852156,0.00127328,0.101385,3.2558,0.22813,
-179.044,2.24578,0.504419,0.0386597,1.32854,2.76719,0.00349451,0.0188581,0.724594,0.065054,0.000233522,0.0330004,0.0502121,0.0381786,6.61259,0.0401623,
-179.033,2.17974,0.410435,0.00892479,0.0191123,1.77011e-05,0.0115584,8.03062e-06,0.00291044,0.0236097,0.00642041,0.000192049,4.29116e-06,0.00579659,2.02173,0.532744,
-179.026,2.22627,3.48049e-05,0.337474,0.26481,1.91971,0.190924,0.411366,0.181692,0.0825384,0.00192326,0.000382752,0.00375534,0.010348,4.43905,0.0340945,
-179.03,2.23291,0.00175946,0.286704,0.138785,0.384111,0.0533814,0.332841,0.00109191,0.461822,0.000363335,0.0119281,0.0644105,0.00333016,2.81628,0.0757566,
-179.027,2.30493,0.141267,0.00110714,1.14965,1.58911,0.0179604,0.0294795,0.530446,0.991763,0.0641354,0.085768,0.0243134,0.117771,5.82698,0.0842059,
-179.022,2.24098,0.0549216,0.0223039,0.000224517,0.834632,0.00997876,0.000226954,0.0434972,0.210242,0.000313376,0.012684,0.00405159,7.70948e-06,2.47603,0.28295,
-179.034,2.24657,0.0803528,0.118556,0.191732,0.000187762,1.07333,0.00652729,0.000151694,0.0160493,0.140854,0.0059787,0.0743591,0.00246531,12.7105,10,
-179.017,2.27505,1.53826,1.58235,0.757863,0.534914,0.0163983,0.212869,2.17556,0.193961,0.199057,0.00340481,0.0425992,0.00798942,8.31213,0.0469011,
-179.015,2.24536,0.187526,1.33965,0.736364,0.0294134,0.0296487,0.0530982,0.871737,0.0232108,1.10298,0.0312725,0.00531075,0.0080094,5.53149,0.113272,
-179.03,2.22668,0.134034,0.0364672,1.23461,0.451387,0.00029587,0.0412895,0.159514,0.0169536,0.133055,9.73356e-06,0.00106799,0.023998,3.24434,0.0116554,
